Population % Change,2010 Population,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Land Area (Square Miles),Population per Square Mile,No Preference,Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin OMalley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz
1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,0,0,1764,544,0,0,5387,2387,0,421,1785,0,0,0,0,2482
9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,0,0,4221,2694,0,0,23618,5290,0,2987,9703,0,0,0,0,8571
-2.1,27457,2.9,2120,24.6,32911,26.7,1667,0,0,0,27,0,188337,6334,8,884.88,31,0,0,417,222,0,0,1710,2567,0,123,498,0,0,0,0,609
-1.8,22915,1.2,1327,27.6,36447,18.1,1385,14.9,0,0,0,0,124707,5804,19,622.58,36.8,0,0,393,246,0,0,1959,942,0,84,444,0,0,0,0,1011
0.7,57322,4.3,4540,33.9,44145,15.8,4458,0,0,0,23.2,341544,319700,5622,3,644.78,88.9,0,0,1523,395,0,0,7390,564,0,337,1843,0,0,0,0,3698
-1.4,10914,5.4,636,26.9,32033,21.6,417,0,0,0,38.8,0,43810,3995,1,622.81,17.5,0,0,47,178,0,0,313,2451,0,23,64,0,0,0,0,94
-3.1,20947,0.8,1497,24,29918,28.4,1769,0,3.3,0,0,399132,229277,11326,2,776.83,27,0,0,377,156,0,0,1720,2196,0,86,427,0,0,0,0,534
-2.3,118572,2.4,11385,22.5,39962,21.9,8713,7.2,1.6,0.5,24.7,2679991,1542981,13678,114,605.87,195.7,0,0,2350,1425,0,0,8960,5011,0,957,3251,0,0,0,0,3859
-0.3,34215,1.1,2691,24.6,32402,24.1,1981,0,0,0,29.3,667283,264650,7620,8,596.53,57.4,0,0,595,312,0,0,2169,2899,0,168,595,0,0,0,0,914
0.2,25989,0.7,2174,26.9,34907,21.2,2180,0,0,0,14.5,307439,186321,7613,2,553.7,46.9,0,0,534,268,0,0,2777,712,0,151,810,0,0,0,0,921
0.7,43643,5.2,3308,31.8,41250,19.5,0,0,0,0,0,0,359910,8496,78,692.85,63,0,0,1149,289,0,0,5273,860,0,218,1436,0,0,0,0,2328
-3.9,13859,0.3,938,33.4,33941,21.5,1102,26.2,0,0,44.1,0,84633,5969,0,913.5,15.2,0,0,169,273,0,0,1070,1772,0,68,315,0,0,0,0,451
-3.5,25833,0.3,1583,25.5,29357,29.3,2374,0,0,0,28.6,571454,344311,13034,11,1238.47,20.9,0,0,410,213,0,0,2308,3148,0,125,805,0,0,0,0,886
-2.7,13932,2.2,1076,30.7,34002,19,1005,0,0,0,0,330878,70558,5123,0,603.96,23.1,0,0,492,135,0,0,1920,807,0,125,505,0,0,0,0,836
0.7,14972,1.5,989,31.4,38019,18.4,1280,0,0,0,17.7,0,133407,9080,1,560.1,26.7,0,0,437,72,0,0,2120,221,0,106,598,0,0,0,0,928
1.9,49948,5.1,6066,21.3,43768,18.6,4032,6,1.3,0.7,29.3,613758,639623,13665,58,678.97,73.6,0,0,1368,389,0,0,4304,1493,0,377,1608,0,0,0,0,2421
0.2,54428,2,4376,22.7,39077,17.9,4757,0,0,0,22.8,2083166,821284,15040,143,592.62,91.8,0,0,884,1342,0,0,3858,3879,0,250,1443,0,0,0,0,1601
-4.2,13228,0.6,1101,27.2,24658,32.7,980,0,0,0,23,183544,71232,5430,3,850.16,15.6,0,0,137,544,0,0,768,2031,0,17,141,0,0,0,0,208
