2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
54571,1.6,53682,12.1,15.2,1.3,0.7,31.7,12003,594.44,91.8,6.0,25.2,13.8,51.4,77.9,18.7,1.1,2.7,0,0,1764,544,0,0,5387,2387,0,421,1785,0,0,0,0,2482
182265,3.6,50221,13.9,2.7,1.0,1.3,27.3,17166,1589.78,114.6,5.6,22.2,18.7,51.2,87.1,9.6,0.9,4.6,0,0,4221,2694,0,0,23618,5290,0,2987,9703,0,0,0,0,8571
27457,2.9,32911,26.7,0.0,0.0,0.0,27.0,6334,884.88,31.0,5.7,21.2,16.5,46.6,50.2,47.6,0.5,4.5,0,0,417,222,0,0,1710,2567,0,123,498,0,0,0,0,609
22915,1.2,36447,18.1,14.9,0.0,0.0,0.0,5804,622.58,36.8,5.3,21.0,14.8,45.9,76.3,22.1,0.2,2.1,0,0,393,246,0,0,1959,942,0,84,444,0,0,0,0,1011
57322,4.3,44145,15.8,0.0,0.0,0.0,23.2,5622,644.78,88.9,6.1,23.6,17.0,50.5,96.0,1.8,0.3,8.7,0,0,1523,395,0,0,7390,564,0,337,1843,0,0,0,0,3698
10914,5.4,32033,21.6,0.0,0.0,0.0,38.8,3995,622.81,17.5,6.3,21.4,14.9,45.3,26.9,70.1,0.3,7.5,0,0,47,178,0,0,313,2451,0,23,64,0,0,0,0,94
20947,0.8,29918,28.4,0.0,3.3,0.0,0.0,11326,776.83,27.0,6.1,23.6,18.0,53.6,53.9,44.0,0.9,1.2,0,0,377,156,0,0,1720,2196,0,86,427,0,0,0,0,534
118572,2.4,39962,21.9,7.2,1.6,0.5,24.7,13678,605.87,195.7,5.7,22.2,16.0,51.8,75.8,21.1,0.9,3.5,0,0,2350,1425,0,0,8960,5011,0,957,3251,0,0,0,0,3859
34215,1.1,32402,24.1,0.0,0.0,0.0,29.3,7620,596.53,57.4,5.9,21.4,18.3,52.3,58.3,39.5,0.8,2.0,0,0,595,312,0,0,2169,2899,0,168,595,0,0,0,0,914
25989,0.7,34907,21.2,0.0,0.0,0.0,14.5,7613,553.7,46.9,4.8,20.4,20.9,50.2,93.0,4.6,0.3,1.5,0,0,534,268,0,0,2777,712,0,151,810,0,0,0,0,921
43643,5.2,41250,19.5,0.0,0.0,0.0,0.0,8496,692.85,63.0,6.4,24.2,15.2,50.8,87.1,10.6,0.4,7.7,0,0,1149,289,0,0,5273,860,0,218,1436,0,0,0,0,2328
13859,0.3,33941,21.5,26.2,0.0,0.0,44.1,5969,913.5,15.2,4.9,20.6,20.8,52.5,56.6,42.4,0.3,0.8,0,0,169,273,0,0,1070,1772,0,68,315,0,0,0,0,451
25833,0.3,29357,29.3,0.0,0.0,0.0,28.6,13034,1238.47,20.9,5.6,22.6,18.0,52.8,54.0,44.2,0.5,1.3,0,0,410,213,0,0,2308,3148,0,125,805,0,0,0,0,886
