fips,County,Population % Change,2010 Population,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Land Area (Square Miles),Population per Square Mile,Party,Candidate,Votes,fraction_votes
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Democrat,Bernie Sanders,544,0.182
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Democrat,Hillary Clinton,2387,0.8
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Republican,Ben Carson,1764,0.146
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Republican,Donald Trump,5387,0.445
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Republican,John Kasich,421,0.035
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Republican,Marco Rubio,1785,0.14800000000000002
1001,Autauga County,1.5,54571,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,594.44,91.8,Republican,Ted Cruz,2482,0.205
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Democrat,Bernie Sanders,2694,0.329
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Democrat,Hillary Clinton,5290,0.647
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Republican,Ben Carson,4221,0.084
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Republican,Donald Trump,23618,0.469
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Republican,John Kasich,2987,0.059
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Republican,Marco Rubio,9703,0.193
1003,Baldwin County,9.8,182265,3.6,19346,25.9,50221,13.9,19035,2.7,1.0,1.3,27.3,1410273,2966489,17166,1384,1589.78,114.6,Republican,Ted Cruz,8571,0.17
1005,Barbour County,-2.1,27457,2.9,2120,24.6,32911,26.7,1667,0.0,0.0,0.0,27.0,0,188337,6334,8,884.88,31.0,Democrat,Bernie Sanders,222,0.078
1005,Barbour County,-2.1,27457,2.9,2120,24.6,32911,26.7,1667,0.0,0.0,0.0,27.0,0,188337,6334,8,884.88,31.0,Democrat,Hillary Clinton,2567,0.906
1005,Barbour County,-2.1,27457,2.9,2120,24.6,32911,26.7,1667,0.0,0.0,0.0,27.0,0,188337,6334,8,884.88,31.0,Republican,Ben Carson,417,0.122
